t,arb_rev_bat
0,0.0043113734375
1,0.0043113734375
2,0.0043113734375
3,0.0043113734375
4,0.0043113734375
5,0.0043113734375
6,0.0043113734375
7,0.0043113734375
8,0.0043113734375
9,0.0043113734375
10,0.0043113734375
11,0.0043113734375
12,0.0043113734375
13,0.0043113734375
14,0.0043113734375
15,0.0043113734375
16,0.0043113734375
17,0.0043113734375
18,0.0043113734375
19,0.0043113734375
20,0.0043113734375
21,0.0043113734375
22,0.0043113734375
23,0.0043113734375
24,0.0043113734375
25,0.0043113734375
26,0.0043113734375
27,0.0043113734375
28,0.0043113734375
29,0.0043113734375
30,0.0043113734375
31,0.0043113734375
32,0.0043113734375
33,0.0043113734375
34,0.0043113734375
35,0.0043113734375
36,0.0043113734375
37,0.0043113734375
38,0.0043113734375
39,0.0043113734375
40,0.0043113734375
41,0.0043113734375
42,0.0043113734375
43,0.0043113734375
44,0.0043113734375
45,0.0043113734375
46,0.0043113734375
47,0.0043113734375
48,0.0043113734375
49,0.0043113734375
50,0.0043113734375
51,0.0043113734375
52,0.0043113734375
53,0.0043113734375
54,0.0043113734375
55,0.0043113734375
56,0.0043113734375
57,0.0043113734375
58,0.0043113734375
59,0.0043113734375
60,0.0043113734375
61,0.0043113734375
62,0.0043113734375
63,0.0043113734375
64,0.0043113734375
65,0.0043113734375
66,0.0043113734375
67,0.0043113734375
68,0.0043113734375
69,0.0043113734375
70,0.0043113734375
71,0.0043113734375
72,0.0043113734375
73,0.0043113734375
74,0.0043113734375
75,0.0043113734375
76,0.0043113734375
77,0.0043113734375
78,0.0043113734375
79,0.0043113734375
80,0.0043113734375
81,0.0043113734375
82,0.0043113734375
83,0.0043113734375
84,0.0043113734375
85,0.0043113734375
86,0.0043113734375
87,0.0043113734375
88,0.0043113734375
89,0.0043113734375
90,0.0043113734375
91,0.0043113734375
92,0.0043113734375
93,0.0043113734375
94,0.0043113734375
95,0.0043113734375
96,0.005454585156666667
97,0.005454585156666667
98,0.005454585156666667
99,0.005454585156666667
100,0.005454585156666667
101,0.005454585156666667
102,0.005454585156666667
103,0.005454585156666667
104,0.005454585156666667
105,0.005454585156666667
106,0.005454585156666667
107,0.005454585156666667
108,0.005454585156666667
109,0.005454585156666667
110,0.005454585156666667
111,0.005454585156666667
112,0.005454585156666667
113,0.005454585156666667
114,0.005454585156666667
115,0.005454585156666667
116,0.005454585156666667
117,0.005454585156666667
118,0.005454585156666667
119,0.005454585156666667
120,0.005454585156666667
121,0.005454585156666667
122,0.005454585156666667
123,0.005454585156666667
124,0.005454585156666667
125,0.005454585156666667
126,0.005454585156666667
127,0.005454585156666667
128,0.005454585156666667
129,0.005454585156666667
130,0.005454585156666667
131,0.005454585156666667
132,0.005454585156666667
133,0.005454585156666667
134,0.005454585156666667
135,0.005454585156666667
136,0.005454585156666667
137,0.005454585156666667
138,0.005454585156666667
139,0.005454585156666667
140,0.005454585156666667
141,0.005454585156666667
142,0.005454585156666667
143,0.005454585156666667
144,0.005454585156666667
145,0.005454585156666667
146,0.005454585156666667
147,0.005454585156666667
148,0.005454585156666667
149,0.005454585156666667
150,0.005454585156666667
151,0.005454585156666667
152,0.005454585156666667
153,0.005454585156666667
154,0.005454585156666667
155,0.005454585156666667
156,0.005454585156666667
157,0.005454585156666667
158,0.005454585156666667
159,0.005454585156666667
160,0.005454585156666667
161,0.005454585156666667
162,0.005454585156666667
163,0.005454585156666667
164,0.005454585156666667
165,0.005454585156666667
166,0.005454585156666667
167,0.005454585156666667
168,0.005454585156666667
169,0.005454585156666667
170,0.005454585156666667
171,0.005454585156666667
172,0.005454585156666667
173,0.005454585156666667
174,0.005454585156666667
175,0.005454585156666667
176,0.005454585156666667
177,0.005454585156666667
178,0.005454585156666667
179,0.005454585156666667
180,0.005454585156666667
181,0.005454585156666667
182,0.005454585156666667
183,0.005454585156666667
184,0.005454585156666667
185,0.005454585156666667
186,0.005454585156666667
187,0.005454585156666667
188,0.005454585156666667
189,0.005454585156666667
190,0.005454585156666667
191,0.005454585156666667
192,0.0062818174483333334
